AACC160A	Change AOCS Submode	1	C	ZCAD4816	1	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC160B	Change AOCS Submode	1	C	ZCAD4816	1	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC161A	Change AOCS Submode	1	C	ZCAD4816	1	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC161B	Change AOCS Submode	1	C	ZCAD4816	1	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC250A	OCM Zero DeltaV v06	1	S	AACF040B	0	N	A	00.00.00	00.00.00	A					N	N	N
AACC250A	OCM Select Term Meth v04	2	S	AACF041A	1	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	Sel Wheel Speed Cont v03	3	S	AACF043A	1	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	Set OCM-T Flag FALSE v05	4	S	AACF156B	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	NCM-F Auto FALSE v07	5	S	AACF155B	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	Switch CPS ON v06	6	S	ACPF200C	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	CPS Before GAM/Wheel v07	7	S	ACPF121C	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	Enable OCM/WOL 8Hz v06	8	S	AACF930A	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC250A	AOCS Mode to OCM v07	9	S	AACF240A	2	N	R	00.00.01	00.00.01	R					N	N	N
AACC250B	Unprotect Func Mon Parameters	1	C	ZCA08E0D	5	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC250B	Enable Functional Monitoring	2	C	ZCA08E01	5	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250B	Protect Func Mon Parameters	3	C	ZCA08E0C	5	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250B	Report Current FMON Status List	4	C	ZCA08E0A	0	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250B	Set RFC_Monitor Enable Status CS	5	C	ZCAXZ106	1	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250B	AOCS mode OCM to NCM v04	6	S	AACF241A	0	N	R	00.00.00	00.00.00	R					N	N	N
AACC250B	CPS Restore Valv OCM v07	7	S	ACPF110B	0	N	R	00.00.10	00.00.10	R					N	N	N
AACC250B	Disable OCM/WOL 8Hz v06	8	S	AACF930B	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC250B	Start NCM-F v10	9	S	AACF231A	0	N	R	00.10.00	00.10.00	R					N	N	N
AACC250C	Unprotect Func Mon Parameters	1	C	ZCA08E0D	2	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC250C	Disable Functional Monitoring	2	C	ZCA08E02	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250C	Protect Func Mon Parameters	3	C	ZCA08E0C	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250C	Report Current FMON Status List	4	C	ZCA08E0A	0	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250C	Set RFC_Monitor Enable Status CS	5	C	ZCAXZ106	1	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250D	Unprotect Func Mon Parameters	1	C	ZCA08E0D	2	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC250D	Disable Functional Monitoring	2	C	ZCA08E02	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250D	Protect Func Mon Parameters	3	C	ZCA08E0C	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250D	Report Current FMON Status List	4	C	ZCA08E0A	0	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250D	Set RFC_Monitor Enable Status CS	5	C	ZCAXZ106	1	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250E	Unprotect Func Mon Parameters	1	C	ZCA08E0D	2	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC250E	Disable Functional Monitoring	2	C	ZCA08E02	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250E	Protect Func Mon Parameters	3	C	ZCA08E0C	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250E	Report Current FMON Status List	4	C	ZCA08E0A	0	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250E	Set RFC_Monitor Enable Status CS	5	C	ZCAXZ106	1	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250F	Unprotect Func Mon Parameters	1	C	ZCA08E0D	2	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC250F	Disable Functional Monitoring	2	C	ZCA08E02	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250F	Protect Func Mon Parameters	3	C	ZCA08E0C	2	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250F	Report Current FMON Status List	4	C	ZCA08E0A	0	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC250F	Set RFC_Monitor Enable Status CS	5	C	ZCAXZ106	1	Y	R	00.00.01	00.00.01	R			N	C	N	N	N
AACC300A	STR Deactivate function	1	C	ZCSD1041	0	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC301A	STR1 Reset	1	C	ZST15101	1	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC301B	STR2 Reset	1	C	ZST25101	1	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC302A	Set STR SCV Config Presel = A	1	C	ZCS2Z01R	0	Y	A	00.00.01	00.00.01	A			N	C	N	N	N
AACC302B	Set STR SCV Config Presel = B	1	C	ZCS2Z01S	0	Y	A	00.00.01	00.00.01	A			N	C	N	N	N
AACC302C	STR Activate function	1	C	ZCSD1040	0	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC303A	Set STR SCV Config Presel = B	1	C	ZCS2Z01S	0	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC303A	STRB Power Up NOTUSE d08	2	S	AACF301B	1	N	R	00.00.01	00.00.01	R					N	N	N
AACC303A	STR B Boot Report v04	3	S	AACF314B	0	N	R	00.01.00	00.01.00	R					N	N	N
AACC303A	STR B INI2STB noload v08	4	S	AACF304B	0	N	R	00.00.05	00.00.05	R					N	N	N
AACC303A	STR B En Data Gen v05	5	S	AACF317C	2	N	R	00.00.10	00.00.10	R					N	N	N
AACC303A	Fwd. by PID,Typ,Styp v03	6	S	ADMF120C	3	N	R	00.00.01	00.00.01	R					N	N	N
AACC303A	STR B Set Peltier T v04	7	S	AACF353C	1	N	R	00.00.10	00.00.10	R					N	N	N
AACC303A	STR B EnDis Peltier v04	8	S	AACF353D	1	N	R	00.00.01	00.00.01	R					N	N	N
AACC303A	STR B En/Dis Aberrat v04	9	S	AACF351B	1	N	R	00.00.01	00.00.01	R					N	N	N
AACC303A	STR B ON Post FDIR d08	10	S	AACF301D	0	N	R	00.00.10	00.00.10	R					N	N	N
AACC303A	STR B AAD to NEAT v09	11	S	AACF306A	0	N	R	00.00.01	00.00.01	R					N	N	N
AACC303A	STR-B Connect. Test v04	12	S	AACF310B	0	N	R	00.03.00	00.03.00	R					N	N	N
AACC303B	Set STR SCV Config Presel = A	1	C	ZCS2Z01R	0	Y	A	00.00.00	00.00.00	A			N	C	N	N	N
AACC303B	STR APower Up NOTUSE d08	2	S	AACF301A	1	N	R	00.00.01	00.00.01	R					N	N	N
AACC303B	STR A Boot Report v04	3	S	AACF314A	0	N	R	00.01.00	00.01.00	R					N	N	N
AACC303B	STR A INI2STB noload v08	4	S	AACF304A	0	N	R	00.00.05	00.00.05	R					N	N	N
