CACP4901TC	Torque Magnitude	R	U	D	1	
VCD00147	Integer between 0 and 1	R	U	D	1	
VCD00149	Integer between 0 and 22	R	U	D	1	
VCD00150	Integer between 0 and 11	R	U	D	1	
VCD00153	Integer between 0 and 23	R	U	D	1	
VCD00154	Integer between 0 and 23	R	U	D	1	
VCD00155	Integer between 0 and 23	R	U	D	1	
VCD00156	Integer between 0 and 23	R	U	D	1	
VCD00157	Integer between 0 and 25	R	U	D	1	
VCD00158	Integer between 0 and 32	R	U	D	1	
VCD00159	Integer between 0 and 45	R	U	D	1	
VCD00160	Integer between 0 and 15	R	U	D	1	
VCD00161	Integer between 0 and 58	R	U	D	1	
VCD00162	Integer between 0 and 65	R	U	D	1	
VCD00163	Integer between 0 and 7	R	U	D	1	
VCD00164	Integer between 0 and 78	R	U	D	1	
VCD00165	Integer between 0 and 9	R	U	D	1	
VCD00170	Integer between 1 and 13	R	U	D	1	
VCD00171	Integer between 1 and 2	R	U	D	1	
VCD00173	Integer between 1 and 21	R	U	D	1	
VCD00174	Integer between 1 and 23	R	U	D	1	
VCD00175	Integer between 1 and 23	R	U	D	1	
VCD00176	Integer between 1 and 25	R	U	D	1	
VCD00177	Integer between 1 and 30	R	U	D	1	
VCD00178	Integer between 1 and 32	R	U	D	1	
VCD00179	Integer between 1 and 4	R	U	D	1	
VCD00180	Integer between 1 and 40	R	U	D	1	
VCD00181	Integer between 1 and 42	R	U	D	1	
VCD00182	Integer between 1 and 44	R	U	D	1	
VCD00183	Integer between 1 and 56	R	U	D	1	
VCD00185	Integer between 1 and 57	R	U	D	1	
VCD00186	Integer between 1 and 58	R	U	D	1	
VCD00187	Integer between 1 and 65	R	U	D	1	
VCD00188	Integer between 1 and 7	R	U	D	1	
VCD00189	Integer between 0 and 61	R	U	D	1	
VCD00190	Float between 0.1 and 16	R	R	D	1	
VCD00194	Integer between 0 and 8	R	U	D	1	
VCD00195	Integer between 1 and 10	R	U	D	1	
VCD00213	Integer between 0 and 68	R	U	D	1	
VCD00236	Integer between 0 and 20	R	U	D	1	
VCD00237	Integer between 0 and 20	R	U	D	1	
VCD00238	Integer between 0 and 22	R	U	D	1	
VCD00240	Integer between 0 and 40	R	U	D	1	
VCD00241	Integer between 0 and 51	R	U	D	1	
VCD00243	Integer between 1 and 11	R	U	D	1	
VCD00244	Integer between 1 and 18	R	U	D	1	
VCD00245	Integer between 1 and 23	R	U	D	1	
VCD00246	Integer between 1 and 23	R	U	D	1	
VCD00247	Integer between 1 and 47	R	U	D	1	
VCD00248	Integer between 2 and 65	R	U	D	1	
VCD00250	Integer between 0 and 23	R	U	D	1	
VCD00251	Integer between -1 and 3	R	I	D	1	
VCD00254	Integer between 0 and 11	R	U	D	1	
VCD00255	Integer between 0 and 25	R	U	D	1	
VCD00257	Integer between 0 and 4	R	U	D	1	
VCD00265	Integer between 0 and 25	R	U	D	1	
VCD00266	Integer between 0 and 28	R	U	D	1	
VCD00267	Integer between 0 and 72	R	U	D	1	
VCD00268	Integer between 1 and 11	R	U	D	1	
VCD00269	Integer between 1 and 25	R	U	D	1	
VCD00270	Integer between 1 and 78	R	U	D	1	
VCD00314	Integer between 0 and 10	R	U	D	1	
VCD00315	Integer between 0 and 31	R	U	D	1	
VCD00335	Integer between 0 and 36	R	U	D	1	
VCD00336	Integer between 1 and 15	R	U	D	1	
VCD00337	Integer between 1 and 21	R	U	D	1	
VCD00338	Integer between 1 and 26	R	U	D	1	
VCD00339	Integer between 1 and 6	R	U	D	1	
VCD00340	Integer between 1 and 8	R	U	D	1	
VCD00348	Float between -179.5 and	R	R	D	1	
VCD00349	Float between -180.0 and	R	R	D	1	
VCD00350	Float between 0.0 and 21	R	R	D	1	
VCD00351	Integer between 193 and	R	U	D	1	
VCD00352	Integer between 1 and 16	R	U	D	1	
VCD00353	Integer between 1 and 19	R	U	D	1	
VCD00363	Integer between 0 and 22	R	U	D	1	
VCD00379	Integer between 0 and 12	R	U	D	1	
VCD00383	Integer between 0 and 16	R	U	D	1	
VCD2Z001	SGM Door Priority 0 To 6	R	U	D	1	
VCDX0001	Source Sequence Count	R	U	D	1	
VCDX0002	Reserved IDs	R	U	D	1	
VCDX0003	Reserved IDs FCT	R	U	D	1	
VCDX0004	Reserved IDs MPS	R	U	D	1	
