AACC160A	SASM P Entry v04		B	0	1	N	F	Y		08:58:39	AC-CRP-160	4	29/03/2019		2
AACC160B	SASM S Entry v04		B	0	1	N	F	Y		08:58:39	AC-CRP-160	4	29/03/2019		2
AACC161A	WSM  P Entry v04		B	0	1	N	F	Y		08:58:43	AC-CRP-161	4	29/03/2019		2
AACC161B	WSM S Entry v04		B	0	1	N	F	Y		08:58:43	AC-CRP-161	4	29/03/2019		2
AACC250A	Enter OCM RW Mainte v03		B	0	9	N	N	Y		08:58:52	AC-CRP-250	3	29/03/2019		2
AACC250B	Exit OCM after RWMai v03		B	0	9	N	N	Y		08:58:54	AC-CRP-250	3	29/03/2019		2
AACC250C	RW Maint RW 1 FDIR v03		B	0	5	N	N	Y		08:58:47	AC-CRP-250	3	29/03/2019		2
AACC250D	RW Maint RW 2 FDIR v03		B	0	5	N	N	Y		08:58:48	AC-CRP-250	3	29/03/2019		2
AACC250E	RW Maint RW 3 FDIR v03		B	0	5	N	N	Y		08:58:49	AC-CRP-250	3	29/03/2019		2
AACC250F	RW Maint RW 4 FDIR v03		B	0	5	N	N	Y		08:58:50	AC-CRP-250	3	29/03/2019		2
AACC300A	STR Deactivate v01		B	0	1	N	N	Y		08:58:58	AC-CRP-300	1	29/03/2019		2
AACC301A	STR A Reboot Not USE v03		B	1	1	N	N	Y		08:26:42	AC-CRP-301	3	14/06/2019		2
AACC301B	STR B Reboot Not USE v03		B	1	1	N	N	Y		08:26:43	AC-CRP-301	3	14/06/2019		2
AACC302A	STR A Select Reboot v05		B	0	1	N	N	Y		08:24:10	AC-CRP-302	5	14/08/2019		2
AACC302B	STR B Select Reboot v05		B	0	1	N	N	Y		08:24:10	AC-CRP-302	5	14/08/2019		2
AACC302C	STR Reboot v05		B	0	1	N	N	Y		08:24:10	AC-CRP-302	5	14/08/2019		2
AACC303A	STR B Setup for SO v10		B	1	12	N	N	Y		07:48:50	AC-CRP-303	10	19/08/2020		2
AACC303B	STR A Setup for SO v10		B	1	12	N	N	Y		07:48:54	AC-CRP-303	10	19/08/2020		2
AACC303C	STR SO A to B v10		B	0	19	N	N	Y		07:48:51	AC-CRP-303	10	19/08/2020		2
AACC303D	STR SO B to A v10		B	0	19	N	N	Y		07:48:54	AC-CRP-303	10	19/08/2020		2
AACC304A	STR A to STB load EE v04		B	5	1	N	N	Y		08:59:19	AC-CRP-304	4	29/03/2019		2
AACC304B	STR B to STB load EE v04		B	5	1	N	N	Y		08:59:20	AC-CRP-304	4	29/03/2019		2
AACC307A	STR A INIT to SWM v04		B	0	1	N	N	Y		08:59:24	AC-CRP-307	4	29/03/2019		2
AACC307B	STR B INIT to SWM v04		B	0	1	N	N	Y		08:59:25	AC-CRP-307	4	29/03/2019		2
AACC309A	STR A time update v06		B	1	2	N	N	Y		08:26:48	AC-CRP-309	6	14/06/2019		2
AACC309B	STR B Time update v06		B	1	2	N	N	Y		08:26:49	AC-CRP-309	6	14/06/2019		2
AACC352A	STRA EnDis Opt Comp v04		B	1	1	N	F	Y		08:59:34	AC-CRP-352	4	29/03/2019		2
AACC352B	STRB EnDis Opt Comp v04		B	1	1	N	F	Y		08:59:35	AC-CRP-352	4	29/03/2019		2
AACC354A	STR A En/Dis APS v05		B	1	1	N	F	Y		17:26:47	AC-CRP-354	5	19/08/2020		2
AACC354B	STR B En/Dis APS v05		B	1	1	N	F	Y		17:26:47	AC-CRP-354	5	19/08/2020		2
AACC355A	STR A En Watch Dog v01		B	0	1	N	N	Y		08:59:41	AC-CRP-355	1	29/03/2019		2
AACC355B	STR B En Watch Dog v01		B	0	1	N	N	Y		08:59:41	AC-CRP-355	1	29/03/2019		2
AACC360A	STR Update CO Time v02		B	1	5	N	N	Y		15:16:40	AC-CRP-360	2	14/10/2019		2
AACC361A	RESET_REC_STR1 v03	Reset first attempt flag in REC_STR1	B	0	2	N	N	Y		13:01:04	AC-CRP-361	3	20/08/2020		2
AACC400A	IMU Gyro A SO Sel v09		B	0	1	N	N	Y		09:32:46	AC-CRP-400	9	19/08/2020		2
AACC400B	IMU Gyro A Chan Sel v09		B	4	4	N	N	Y		09:32:47	AC-CRP-400	9	19/08/2020		2
AACC400C	IMU Gyro B SO Sel v09		B	0	1	N	N	Y		09:32:47	AC-CRP-400	9	19/08/2020		2
AACC400D	IMU Gyro B Chan Sel v09		B	4	4	N	N	Y		09:32:48	AC-CRP-400	9	19/08/2020		2
AACC400E	IMU Gyro Switchover v09		B	0	1	N	N	Y		09:32:48	AC-CRP-400	9	19/08/2020		2
AACC405A	GFE gyro bias update v01		B	3	1	N	F	Y		17:13:54	AC-CRP-405	1	19/08/2020		2
AACC405B	GSE gyro bias update v01		B	3	1	N	F	Y		17:13:55	AC-CRP-405	1	19/08/2020		2
AACC410A	Opt. pwr. IMU-A_1 v03	Adjust Optical Power IMU-A, Channel 1	B	2	3	N	N	Y		09:00:16	AC-CRP-410	3	29/03/2019		2
