AYMODELE	Presence / absence of Equipement	U	15
CAAT0001TM	Off_On	U	2
CAAT0003TM	Redundant_Nominal	U	2
CAAT0005TM	Disconnected_Connected	U	2
CAAT0007TM	Switch_Open_Closed	U	2
CAAT0009TM	Failed_Healthy	U	2
CAAT0011TM	Not_Selected_Selected	U	2
CAAT0013TM	Absence_Presence	U	2
CAAT0015TM	Backward_Forward	U	2
CAAT0017TM	Left_Right	U	2
CAAT0019TM	Unused_Used	U	2
CAAT0021TM	Still_Moving	U	2
CAAT0023TM	Plus_Minus	U	2
CAAT0025TM	Disarmed_Armed	U	2
CAAT0027TM	Inactive_Active	U	2
CAAT0029TM	Inhibited_Enabled	U	2
CAAT0031TM	Disabled_Enabled	U	2
CAAT0033TM	False_True	U	2
CAAT0035TM	Busy_Ready	U	2
CAAT0037TM	Open_Closed	U	2
CAAT0039TM	Unlocked_Locked	U	2
CAAT0041TM	End_Start	U	2
CAAT0043TM	Empty_Full	U	2
CAAT0045TM	Invalid_Valid	U	2
CAAT0101TM	Receive_Transmit	U	2
CAAT0103TM	Error	U	2
CAAT0105TM	Service Requested	U	2
CAAT0107TM	Broadcast Cmd received	U	2
CAAT0108TM	Busy	U	2
CAAT0111TM	Fault	U	2
CAAT1002TM	Verify Read	U	2
CAAT1003TM	Acknowledge Read	U	2
CAAT1004TM	Increment	U	2
CAAT1006TM	Command Response	U	2
CAAT1007TM	Read Write	U	2
CAAT1008TM	OBCP_boolean	U	2
CAHT0000TM	APME Mode	U	5
CAHT0001TM	Transition	U	2
CAHT0002TM	Voltage Status	U	2
CAHT0003TM	Alarm Status	U	2
CAHT0004TM	Odd parity in TMs	U	2
CAHT0005TM	Polarity TM	U	2
CAHT0006TM	Antenna	U	2
CAMT0000TM	APME Mode	U	5
CAMT0001TM	Transition	U	2
CAMT0002TM	Voltage Status	U	2
CAMT0003TM	Alarm Status	U	2
CAMT0004TM	Odd parity in TMs	U	2
CAMT0005TM	Polarity TM	U	2
CAMT0006TM	Antenna	U	2
CBCT0014TM	PM_ACTIVE	U	2
CBCT0017TM	IMAGE	U	2
CBCT0022TM	PM_TEST_MODE	U	2
CBCT0023TM	PM_SAFE_MODE	U	2
CBCT0024TM	WR_PROT_EN_DIS	U	2
CBCTZ000TM	RSA Alt_Off_On	U	2
CBCTZ001TM	SCS Status	U	2
CBCTZ002TM	SWA-HIS Return RSA	U	2
CBCTZ010TM	PDEC_FARCP.Channel	U	3
CBCTZ011TM	PDEC_CLCW.NoRF,NoBL	U	2
CBCTZ012TM	PDEC_MON.TCnDis	U	2
CBCTZ013TM	PDEC_MON.Lock	U	2
CBCTZ014TM	PDEC_MON.TCnStatus	U	3
CCD2Z002TM	PAP sel Clr Last Chn Reg	U	12
CCD2Z006TM	RM prog set, PAP Ptr reg	U	4
CCD2Z007TM	RM prog set, AT Ptr reg	U	4
CCDT0001TX	AOCS profiles	U	6
CCDT0002TM	Close/Open	U	2
CCDT0003TX	Disabled/Enabled status	U	2
CCDT0004TX	Event ID list	U	1380
CCDT0005TM	Failure ID	U	289
CCDT0006TM	Boolean	U	2
CCDT0007TM	Door state	U	3
CCDT0008TM	Deployment PCDU Chain ID	U	4
CCDT0009TM	Status that can be returned by F	U	24
CCDT0010TM	Large Data Transfer Service stat	U	3
CCDT0011TX	Monitoring checking status	U	6
CCDT0012TX	Nature Of Expected value check d	U	2
CCDT0013TX	Nature Of Limit check definition	U	2
CCDT0014TM	PUS subtype of the MTL/OPS comma	U	18
CCDT0015TX	OR/AND logic type	U	2
CCDT0018TX	Process ID	U	70
CCDT0019TM	Identifies SPW links status (HEA	U	2
CCDT0021TX	Packet Store ID	U	9
CCDT0022TC	Period by TTags	U	4
CCDT0023TX	LEOP Step ID	U	12
CCDT0025TM	TC I/F	U	2
CCDT0026TM	Unprotected/Protected status of	U	2
CCDT0027TM	Reason of a uplink tranfer abort	U	3
CCDT0029TM	Absence/Presence error status	U	2
CCDT0030TX	1553 Bus Coupler ID	U	3
CCDT0031TX	MilBus 1553 bus ID	U	2
CCDT0032TM	Bus asynchronous distribution or	U	3
CCDT0033TM	General CDHS status	U	2
CCDT0034TM	Identifies the execution status	U	13
CCDT0035TM	Status of a functional monitorin	U	4
CCDT0036TM	Type of memory request in progre	U	5
CCDT0037TX	Memory ID	U	38
CCDT0039TX	Receive/transmit status	U	2
CCDT0040TX	MilBus Remote Terminal	U	32
CCDT0041TX	Identifies SSMM SPW link coupler	U	4
CCDT0042TX	Identifies SSMM SPW link	U	1
CCDT0043TX	Time Report Generation Rate	U	9
CCDT0046TM	AU Mode	U	2
