CAHP0000TC	Periodic TC angular rate	R	I		dg/s	2
CAHP0001TC	Go to Safe angular rate	R	U	D	dg/s	2
CAHP0002TC	K3 parameter	R	U	D	deg	2
CAHP0003TC	Current value	R	U	D	mA	2
CAHP0004TC	Offset Potentiometer	R	U	D	V	2
CAHP0005TC	Slope Potentiometer	R	I		V/dg	2
CAHP0006TC	RDC offset	R	I		deg	2
CAHP0007TC	Threshold	R	U	D	deg	2
CAHP0008TC	AGC constant voltage	R	U	D	V	2
CAHP0009TC	Position	R	I		deg	2
CAHP0010TC	K0 parameter	R	U	D		2
CAHP0011TC	K1 parameter	R	U	D		2
CAHP0012TC	K2 parameter	R	U	D		2
CAMP0000TC	Periodic TC angular rate	R	I		dg/s	2
CAMP0001TC	Go to Safe angular rate	R	U	D	dg/s	2
CAMP0002TC	K3 parameter	R	U	D	deg	2
CAMP0003TC	Current value	R	U	D	mA	2
CAMP0004TC	Offset Potentiometer	R	U	D	V	2
CAMP0005TC	Slope Potentiometer	R	I		V/dg	2
CAMP0006TC	RDC offset	R	I		deg	2
CAMP0007TC	Threshold	R	U	D	deg	2
CAMP0008TC	AGC constant voltage	R	U	D	V	2
CAMP0009TC	Position	R	U	D	deg	2
CAMP0010TC	K0 parameter	R	U	D		2
CAMP0011TC	K1 parameter	R	U	D		2
CAMP0012TC	K2 parameter	R	U	D		2
CDST0007TC	Rng_Mod_Index_Sel_STD	R	U	D		2
CDST0010TC	Rng_Mod_Index_Sel_PNG	R	U	D		2
CIAP0003TC	TMSID_RATE	R	U	D	sec	10
CIAP0032TC	SET_VAL	R	U	D		3
CIAP0041TC	HK_ch_list	R	U	D		2
CICPCMS0TC	CMS Period Calibration	R	U	D	ms	251
CIPP0001TC	PHI_CycleTime	R	U	D	s	2
CIPP8526TC	PHI_HeaterTemperature	R	I		degC	2
CIPP8527TC	PHI_HeaterPower	R	U	D	W	2
CITP1086TC	HVU_MCP_TC	U	U	D		2
CITP1087TC	HVU_Screen_TC	U	U	D		2
