ENISTE01	Polling Frequency	3	12	R	D		N				R			
ENISTE02	Event ID	2	16	A	D		T			CNISX205TC	R		Y	
ENISTE03	SLE Service Type	2	8	A	D		T			CNISX207TC	R		Y	
ENISTE06	Mode	2	8	A	D		T			CNISX211TC	R		Y	
ENISTE07	Link Priority	3	4	R	D		N	VNISLP01			R		Y	
ENISTE14	TF Version Number	3	4	R	D		N				R	0	Y	
ENISTE15	S/C Identifier	3	12	R	D		N				R	650	Y	
ENISTE16	V/C Identifier	3	4	R	D		N				R		Y	
ENISTE18	Channel Type	2	8	A	D		T			CNISX214TC	R		Y	
ENISTE24	First CLTU ID	3	14	R	D		N				R		Y	
ENISTE34	SI_ID ASCII 14	8	14	R	D		N				R		Y	
ENISTE35	SI_ID ASCII 15	8	15	R	D		N				R		Y	
ENISTE36	SI_ID ASCII 16	8	16	R	D		N				R		Y	
ENISTE37	Service_Instance_End	8	0	R	D		N				R			
ENISTE38	SI_ID ASCII 15	8	15	R	D		N				R			
PCA03023	NPAR1SamplOncePerCollInt	3	4	R	D		N	VCD00185			R			
PCA038A2	NPAR1SamplOncePerCollInt	3	4	R	D		N	VCD00186			R			
PCA2Z001	New value of parameter	5	1	R			N				R			
PCA2Z002	New value of parameter	5	2	R			N				R			
PCA2Z003	New value of parameter	5	1	R			N				R			
PCA2Z004	GSE_Pv_RATE_BIAS_EST-X	5	2	R			N				R			
PCA2Z005	GSE_Pv_RATE_BIAS_EST-Y	5	2	R			N				R			
PCA2Z006	GSE_Pv_RATE_BIAS_EST-Z	5	2	R			N				R			
PCA2Z007	GFE_Pv_RATE_BIAS_EST-X	5	2	R			N				R			
PCA2Z008	GFE_Pv_RATE_BIAS_EST-Y	5	2	R			N				R			
PCA2Z009	GFE_Pv_RATE_BIAS_EST-Z	5	2	R			N				R			
PCA8B021	Nb of params to report	3	4	R	D		N	VCD00186			R			
PCA8B041	Nb of params to define	3	4	R	D		N	VCD00244			R			
PCAB0027	Identification of branch	2	8	A	D		T			CCDT0138TC	R			
PCAB0028	Number of commands	3	4	R	D		N	VCD00165			R			
PCAB0029	Actuation on time (ms)	3	12	R	D		N				R			
PCAB002A	Acuation delay (ms)	3	12	R	D		N				R			
PCAB002F	Duration (ms)	3	14	R	D		N				R			
PCAB0031	Thruster ID	2	8	A	D		T			CCDT0145TC	R			
PCAB0032	Reaction wheel ID	2	16	A	D		T			CCDT0144TC	R			
PCAB0090	Parameter ID	3	14	R	D		P				R			
PCAB0093	Number of parameters	3	4	R	D		N	VCD00161			R			
PCAB0094	Number of updates	3	4	R	D		N	VCD00266			R			
PCAB0095	Number of commands	3	4	R	D		N	VCD00257			R			
PCAB0096	AOCS mode	2	8	A	D		T			CCDT0135TM	R			
PCAB0097	AOCS Submode	2	8	A	D		T			CCDT0136TM	R			
PCAB0098	RollAngleOffsetInc (rad)	5	1	R			N				R			
PCAB0099	Strobing rate (rad/s)	5	1	R			N				R			
PCAB00C1	Parameter value	4	14	R			N				R			
PCAB00C2	Parameter value	5	1	R			N				R			
PCAB00C3	Parameter value	2	32	A	D		T			CCDT0006TM	R			
PCAB00D8	No of cycles	3	12	R	D		N				R			
PCAB00DF	Evaluation time (s)	5	2	R			N				R			
PCAB00EC	Number of rows	3	12	R	D		N				R			
PCAB010F	No of parameter updates	3	12	R	D		N	VCD00255			R			
PCAB011A	Thruster 1 on time (s)	5	1	R			N				R			
PCAB011B	Thruster 2 on time (s)	5	1	R			N				R			
PCAB011C	Thruster 3 on time (s)	5	1	R			N				R			
PCAB011D	Thruster 4 on time (s)	5	1	R			N				R			
PCAB011E	Thruster 5 on time (s)	5	1	R			N				R			
PCAB011F	Thruster 6 on time (s)	5	1	R			N				R			
PCAB0120	Thruster 7 on time (s)	5	1	R			N				R			
PCAB0121	Thruster 8 on time (s)	5	1	R			N				R			
