AACC301A	XC301A01	1	RESET	2	8	A	D	P	E		T			CSTT6003TC	
AACC301B	XC301B01	1	RESET	2	8	A	D	P	E		T			CSTT6003TC	
AACC303A	XC303A01	1	Derived from SP:XF301B01	2	8	A	D	P	E		T			CCDT0109TC	
AACC303B	XC303B01	1	Derived from SP:XF301A01	2	8	A	D	P	E		T			CCDT0109TC	
AACC304A	XC304A01	1	LOAD	2	8	A	D	P	R		T			CSTT6001TC	
AACC304A	XC304A02	2	SOURCE ADDRESS	3	14	R	H	P	R		N	VST05001			
AACC304A	XC304A03	3	DESTINATION ADDRESS	3	14	R	H	P	R		N	VST05002			
AACC304A	XC304A04	4	TRANFER SIZE	3	14	R	H	P	R		N	VST05003			
AACC304A	XC304A05	5	START EXECUTION ADDRESS	3	14	R	H	P	R		N	VST05004			
AACC304B	XC304B01	1	LOAD	2	8	A	D	P	R		T			CSTT6001TC	
AACC304B	XC304B02	2	SOURCE ADDRESS	3	14	R	H	P	R		N	VST05001			
AACC304B	XC304B03	3	DESTINATION ADDRESS	3	14	R	H	P	R		N	VST05002			
AACC304B	XC304B04	4	TRANFER SIZE	3	14	R	H	P	R		N	VST05003			
AACC304B	XC304B05	5	START EXECUTION ADDRESS	3	14	R	H	P	R		N	VST05004			
AACC309A	XC309A01	1	ASP CHANNEL	2	8	A	D	P	E		T			CAAT0003TC	
AACC309B	XC309B01	1	ASP CHANNEL	2	8	A	D	P	E		T			CAAT0003TC	
AACC352A	XC352A01	1	OPT DISTORT COMP EN DIS	2	8	A	D	P	E	Enabled	T			CAAT0031TC	
AACC352B	XC352B01	1	OPT DISTORT COMP EN DIS	2	8	A	D	P	E	Enabled	T			CAAT0031TC	
AACC354A	XC354A01	1	APS EN DIS	2	8	A	D	P	E	Enabled	T			CAAT0031TC	
AACC354B	XC354B01	1	APS EN DIS	2	8	A	D	P	E	Enabled	T			CAAT0031TC	
AACC360A	XC360A01	1	Parameter value	5	1	R	D	P	R		N				
AACC400B	XC400B01	1	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400B	XC400B02	2	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400B	XC400B03	3	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400B	XC400B04	4	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400D	XC400D01	1	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400D	XC400D02	2	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400D	XC400D03	3	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC400D	XC400D04	4	SCV config value	2	8	A	D	P	E		T			CCDT0078TM	
AACC405A	XC405A01	1	GFE_Pv_RATE_BIAS_EST-X	5	2	R	D	P	R		N				
AACC405A	XC405A02	2	GFE_Pv_RATE_BIAS_EST-Y	5	2	R	D	P	R		N				
